dataset,rule,n_trades,mean_ret_1d,mean_ret_5d,hit_1d,hit_5d
train,filtered_champion,119,0.0017442344270161847,0.00794887973959032,0.5378151260504201,0.6554621848739496
test,filtered_champion,52,0.004455401765416931,0.016331026835073925,0.6153846153846154,0.75
