symbol,n_trades,mean_ret_1d,mean_ret_5d,hit_1d,hit_5d
GLD,708,6.426195779511667e-05,0.0004167733964463106,0.5296610169491526,0.5155367231638418
^GDAXI,714,0.0003248656683348724,0.00035579560377336047,0.5126050420168067,0.5476190476190477
USO,667,0.00017907374458885962,0.00014507052018381987,0.49775112443778113,0.5142428785607196
SPY,676,-8.721514094233262e-05,-0.0007073692999340982,0.5325443786982249,0.5310650887573964
QQQ,647,-0.0008037882020066004,-0.00218910035318767,0.4806800618238022,0.5131375579598145
^VIX,677,0.0014788764058826403,-0.014389105450312642,0.4963072378138848,0.4756277695716396
