symbol,entry_date,direction,entry_price,overlay_score,belief_mean,price_score,belief_score,exit_date_1d,exit_price_1d,ret_1d_realized,hit_1d_realized,exit_date_5d,exit_price_5d,ret_5d_realized,hit_5d_realized
GLD,2021-08-06,1,164.63999938964844,0.2834019554335669,,0.3542524442919587,0.0,2021-08-09,161.72000122070312,-0.017735654639032417,0,2021-09-09,168.02999877929688,0.020590375377889974,1
GLD,2021-08-09,1,161.72000122070312,0.2677710875731445,,0.3347138594664307,0.0,2021-09-03,171.05999755859375,0.05775411988245109,1,2021-09-10,167.17999267578125,0.03376200478521358,1
GLD,2021-09-03,1,171.05999755859375,0.5382918493551528,,0.6728648116939411,0.0,2021-09-07,167.7100067138672,-0.0195837185346567,0,2021-09-16,164.02999877929688,-0.04109668466988529,0
GLD,2021-09-07,1,167.7100067138672,0.5677910631884974,,0.7097388289856217,0.0,2021-09-08,167.2899932861328,-0.0025044029033459334,0,2021-09-21,166.0399932861328,-0.00995774468355733,0
GLD,2021-09-08,1,167.2899932861328,0.5235824957214088,,0.654478119651761,0.0,2021-09-09,168.02999877929688,0.004423489287242406,1,2021-09-22,165.4199981689453,-0.011178164817001698,0
GLD,2021-09-09,1,168.02999877929688,0.2678127151372016,,0.334765893921502,0.0,2021-09-10,167.17999267578125,-0.0050586568451511235,0,2021-09-23,163.50999450683594,-0.026899983962969897,0
GLD,2021-09-10,1,167.17999267578125,0.277741935023797,,0.3471774187797463,0.0,2021-09-16,164.02999877929688,-0.01884193105925828,0,2021-09-24,163.3000030517578,-0.023208456717354057,0
GLD,2021-09-16,-1,164.02999877929688,-0.2688627031921016,,-0.336078378990127,0.0,2021-09-21,166.0399932861328,-0.01225382260436638,0,2021-09-27,163.63999938964844,0.0023776101478436484,1
GLD,2021-09-21,-1,166.0399932861328,-0.3354800405671967,,-0.4193500507089959,0.0,2021-09-22,165.4199981689453,0.0037340107339023858,1,2021-09-28,162.0500030517578,0.024030296288311357,1
GLD,2021-09-22,-1,165.4199981689453,-0.3326093382217512,,-0.415761672777189,0.0,2021-09-23,163.50999450683594,0.011546389089901129,1,2021-09-29,161.32000732421875,0.024785339681476695,1
GLD,2021-09-23,-1,163.50999450683594,-0.2825411246732254,,-0.3531764058415317,0.0,2021-09-24,163.3000030517578,0.0012842729015524845,1,2021-09-30,164.22000122070312,-0.004342283271482245,0
GLD,2021-09-24,-1,163.3000030517578,-0.3024995979511545,,-0.3781244974389431,0.0,2021-09-27,163.63999938964844,-0.002082035098204275,0,2021-10-04,165.36000061035156,-0.01261480416470559,0
GLD,2021-09-27,-1,163.63999938964844,-0.4959543999335212,,-0.6199429999169015,0.0,2021-09-28,162.0500030517578,0.009716428402719765,1,2021-10-13,167.58999633789062,-0.024138333921871532,0
GLD,2021-09-28,-1,162.0500030517578,-0.4184013893020477,,-0.5230017366275597,0.0,2021-09-29,161.32000732421875,0.004504756024632139,1,2021-10-14,168.0,-0.036717043111327764,0
GLD,2021-09-29,-1,161.32000732421875,-0.4095488981047556,,-0.5119361226309445,0.0,2021-09-30,164.22000122070312,-0.017976653637611154,0,2021-10-15,165.3300018310547,-0.02485739105365093,0
GLD,2021-09-30,-1,164.22000122070312,-0.2912803597574194,,-0.3641004496967742,0.0,2021-10-04,165.36000061035156,-0.006941903429390051,0,2021-10-18,164.9199981689453,-0.004262555980019925,0
GLD,2021-10-04,-1,165.36000061035156,-0.3501861564918935,,-0.4377326956148669,0.0,2021-10-13,167.58999633789062,-0.01348570222126296,0,2021-10-19,165.4499969482422,-0.0005442449054090727,0
GLD,2021-10-13,1,167.58999633789062,0.4009962455240869,,0.5012453069051086,0.0,2021-10-14,168.0,0.0024464685904207325,1,2021-10-20,166.89999389648438,-0.004117205420871809,0
GLD,2021-10-14,1,168.0,0.8224542043060418,,1.028067755382552,0.0,2021-10-15,165.3300018310547,-0.015892846243722097,0,2021-10-21,166.75,-0.00744047619047619,0
GLD,2021-10-15,1,165.3300018310547,0.6256601105057711,,0.7820751381322137,0.0,2021-10-18,164.9199981689453,-0.0024799108302699007,0,2021-10-22,167.77000427246094,0.014758376667167818,1
GLD,2021-10-18,1,164.9199981689453,0.4167095503393826,,0.5208869379242282,0.0,2021-10-19,165.4499969482422,0.003213671993580428,1,2021-10-25,168.92999267578125,0.02431478626823697,1
GLD,2021-10-19,1,165.4499969482422,0.2585881981475482,,0.3232352476844353,0.0,2021-10-20,166.89999389648438,0.008763958748792185,1,2021-10-26,167.67999267578125,0.013478366688859314,1
