market_id,title,subtitle,event_ticker,series_ticker,status,close_time,expiration_time,yes_ask,yes_bid,last_price,volume
KXMVESPORTSMULTIGAMEEXTENDED-S20268C89672021C-2C8B1BC0AE4,"yes Scottie Barnes: 10+,yes Alperen Sengun: 15+,yes Kevin Durant: 20+,yes Joel Embiid: 25+,yes Paul George: 15+,yes Tyrese Maxey: 20+",,KXMVESPORTSMULTIGAMEEXTENDED-S20268C89672021C,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S20264EA5B7CB05F-B17D1DA9407,"yes Tyrese Maxey: 15+,yes LeBron James: 4+",,KXMVESPORTSMULTIGAMEEXTENDED-S20264EA5B7CB05F,,active,2026-04-24 00:00:00+00:00,2026-04-24 00:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026E5B5F8572E1-F134D39712D,"yes Miami,yes Giancarlo Stanton: 2+,yes Francisco Lindor: 1+",,KXMVESPORTSMULTIGAMEEXTENDED-S2026E5B5F8572E1,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026E2672C50711-CADD5168E6D,"yes Bryson DeChambeau,yes Collin Morikawa,yes Jon Rahm,yes Justin Rose,yes Jordan Spieth,yes Ludvig Aberg,yes Matt Fitzpatrick,yes Matthew McCarty,yes Rory McIlroy,yes Scottie Scheffler,yes Tommy Fleetwood,yes Xander Schauffele,yes Scottie Scheffler",,KXMVESPORTSMULTIGAMEEXTENDED-S2026E2672C50711,,active,2026-05-10 23:00:00+00:00,2026-05-10 23:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026EF7CFA3975C-6634C0FE037,"yes Jakob Poeltl: 2+,yes Jakob Poeltl: 10+,yes Immanuel Quickley: 4+",,KXMVESPORTSMULTIGAMEEXTENDED-S2026EF7CFA3975C,,active,2026-04-23 23:00:00+00:00,2026-04-23 23:00:00+00:00,,,,
KXMVECROSSCATEGORY-S2026B5CC9D80768-650B654003B,"no New York wins by over 19.5 points,no Chicago wins by over 21.5 points,no Brooklyn wins by over 10.5 points,no Golden State wins by over 20.5 points,yes Toronto wins by over 1.5 points,no Houston wins by over 19.5 points",,KXMVECROSSCATEGORY-S2026B5CC9D80768,,active,2026-04-23 23:30:00+00:00,2026-04-23 23:30:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026C03DC7B713B-F8BD023D151,"yes Jon Rahm,yes Scottie Scheffler,yes Xander Schauffele,yes Cameron Young,yes Min Woo Lee",,KXMVESPORTSMULTIGAMEEXTENDED-S2026C03DC7B713B,,active,2026-04-27 02:00:00+00:00,2026-04-27 02:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026B69D660D9D3-A312D3F98CB,"yes New York Y,yes New York M,yes New York,yes Chicago,yes Indiana,yes Toronto",,KXMVESPORTSMULTIGAMEEXTENDED-S2026B69D660D9D3,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026D90E0F1C5A5-FD10779BA79,"yes New York Y,yes New York M,yes Kansas City,yes New York,yes Golden State,yes Houston,no Over 224.5 points scored",,KXMVESPORTSMULTIGAMEEXTENDED-S2026D90E0F1C5A5,,active,2026-04-12 14:00:00+00:00,2026-04-12 14:00:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026ABC43CBB084-5E52E085011,"yes Jalen Brunson: 1+,yes Tyrese Maxey: 1+,yes LeBron James: 6+,yes Immanuel Quickley: 2+,yes VJ Edgecombe: 2+,yes Jayson Tatum: 15+,yes OG Anunoby: 2+,yes Scottie Barnes: 4+,yes Over 226.5 points scored",,KXMVESPORTSMULTIGAMEEXTENDED-S2026ABC43CBB084,,active,2026-04-23 23:30:00+00:00,2026-04-23 23:30:00+00:00,,,,
KXMVESPORTSMULTIGAMEEXTENDED-S2026FB214130DF9-60138051956,"yes Jon Rahm,yes Scottie Scheffler,yes Cameron Young,yes Min Woo Lee",,KXMVESPORTSMULTIGAMEEXTENDED-S2026FB214130DF9,,active,2026-04-27 02:00:00+00:00,2026-04-27 02:00:00+00:00,,,,
