Date,symbol,price,return_1d,return_3d,return_5d,volatility_20d,momentum_20d,momentum_60d,ma_50,ma_200,trend_50_200,drawdown
2021-08-02,GLD,169.61000061035156,,,,,,,,,,0.0
2021-08-03,GLD,169.49000549316406,-0.0007074766626713469,,,,,,,,,-0.0007074766626713469
2021-08-04,GLD,169.52999877929688,0.0002359625041987723,,,,,,,,,-0.00047168109643769274
2021-08-05,GLD,168.86000061035156,-0.0039520921003340925,-0.004421909069636687,,,,,,,,-0.004421909069636687
2021-08-06,GLD,164.63999938964844,-0.024991124040327772,-0.028615292620963628,,,,,,,,-0.029302524631910187
2021-08-09,GLD,161.72000122070312,-0.017735654639032372,-0.04606852837155517,-0.04651847981401924,,,,,,,-0.04651847981401924
2021-08-10,GLD,161.77000427246094,0.00030919522248562537,-0.04198742338187578,-0.04554841566168033,,,,,,,-0.046223667883249386
2021-08-11,GLD,164.0,0.01378497662510525,-0.0038872655006136903,-0.032619588386219034,,,,,,,-0.033075883439441345
2021-08-12,GLD,164.0399932861328,0.0002438615008097944,0.014345733662613158,-0.02854439954279664,,,,,,,-0.03284008787320769
2021-08-13,GLD,166.38999938964844,0.014325811995228088,0.02855903440174412,0.010629251740085,,,,,,,-0.018984736802757918
2021-08-16,GLD,167.22000122070312,0.004988291568599701,0.019634153784775066,0.03400939870445607,,,,,,,-0.014091146636683427
2021-08-17,GLD,166.97000122070312,-0.0014950364679763295,0.017861546296576103,0.03214438283307519,,,,,,,-0.015565116326562323
2021-08-18,GLD,167.10000610351562,0.0007786122169375354,0.0042671237242120075,0.018902476240948873,,,,,,,-0.014798623299354885
2021-08-19,GLD,166.61000061035156,-0.002932408589264246,-0.003647892631853611,0.015666955799833016,,,,,,,-0.01768763627854686
2021-08-20,GLD,166.6999969482422,0.0005401616803368814,-0.0016170825327121996,0.00186307806797803,,,,,,,-0.017157028781543238
2021-08-23,GLD,168.72999572753906,0.012177557387281546,0.009754575490641626,0.009029987416654839,,,,,,,-0.005188402096844236
2021-08-24,GLD,168.64999389648438,-0.00047414113127741686,0.012244122673666702,0.010061643789297303,,,,,,,-0.0056600831932819284
2021-08-25,GLD,167.47999572753906,-0.006937433805443538,0.004679056950067428,0.002274025195355467,,,,,,,-0.012558250546238714
2021-08-26,GLD,167.6699981689453,0.0011344784228162208,-0.006282211731371112,0.006362148458739503,,,,,,,-0.011438019187695492
2021-08-27,GLD,170.19000244140625,0.015029547921398434,0.009131388085712677,0.02093584617309663,,,,,,,0.0
2021-08-30,GLD,169.35000610351562,-0.0049356385559711224,0.011165574538339218,0.00367457115910641,0.009828721443432326,-0.001532896090444713,,,,,-0.0049356385559711224
2021-08-31,GLD,169.69000244140625,0.0020076547129428413,0.012047499818217844,0.006166668144442555,0.00983762757938945,0.0011799925763189556,,,,,-0.0029378929010365207
2021-09-01,GLD,169.6999969482422,5.8898619200498104e-05,-0.002879167319671194,0.013255321694148448,0.009837583313975658,0.0010027615771213139,,,,,-0.002879167319671194
2021-09-02,GLD,169.25,-0.0026517204262498373,-0.000590529081259672,0.009423282926636967,0.009813686778856547,0.0023096019675397095,,,,,-0.005523252999128925
2021-09-03,GLD,171.05999755859375,0.01069422486613747,0.00807351698672143,0.005111904957443292,0.00809316401675977,0.03899415811920215,,,,,0.0
