Date,symbol,price,return_1d,return_3d,return_5d,volatility_20d,momentum_20d,momentum_60d,ma_50,ma_200,trend_50_200,drawdown,belief_crypto,belief_elections,belief_geopolitics,belief_master_col,belief_mean,b_change,b_momentum_3,b_volatility_3,b_zscore_3
2021-08-02,GLD,169.61000061035156,,,,,,,,,,0.0,,,,belief_geopolitics,,,,,
2021-08-03,GLD,169.49000549316406,-0.0007074766626713,,,,,,,,,-0.0007074766626713,,,,belief_geopolitics,,,,,
2021-08-04,GLD,169.52999877929688,0.0002359625041987,,,,,,,,,-0.0004716810964376,,,,belief_geopolitics,,,,,
2021-08-05,GLD,168.86000061035156,-0.003952092100334,-0.0044219090696366,,,,,,,,-0.0044219090696366,,,,belief_geopolitics,,,,,
2021-08-06,GLD,164.63999938964844,-0.0249911240403277,-0.0286152926209636,,,,,,,,-0.0293025246319101,,,,belief_geopolitics,,,,,
2021-08-09,GLD,161.72000122070312,-0.0177356546390323,-0.0460685283715551,-0.0465184798140192,,,,,,,-0.0465184798140192,,,,belief_geopolitics,,,,,
2021-08-10,GLD,161.77000427246094,0.0003091952224856,-0.0419874233818757,-0.0455484156616803,,,,,,,-0.0462236678832493,,,,belief_geopolitics,,,,,
2021-08-11,GLD,164.0,0.0137849766251052,-0.0038872655006136,-0.032619588386219,,,,,,,-0.0330758834394413,,,,belief_geopolitics,,,,,
2021-08-12,GLD,164.0399932861328,0.0002438615008097,0.0143457336626131,-0.0285443995427966,,,,,,,-0.0328400878732076,,,,belief_geopolitics,,,,,
2021-08-13,GLD,166.38999938964844,0.014325811995228,0.0285590344017441,0.010629251740085,,,,,,,-0.0189847368027579,,,,belief_geopolitics,,,,,
2021-08-16,GLD,167.22000122070312,0.0049882915685997,0.019634153784775,0.034009398704456,,,,,,,-0.0140911466366834,,,,belief_geopolitics,,,,,
2021-08-17,GLD,166.97000122070312,-0.0014950364679763,0.0178615462965761,0.0321443828330751,,,,,,,-0.0155651163265623,,,,belief_geopolitics,,,,,
2021-08-18,GLD,167.10000610351562,0.0007786122169375,0.004267123724212,0.0189024762409488,,,,,,,-0.0147986232993548,,,,belief_geopolitics,,,,,
2021-08-19,GLD,166.61000061035156,-0.0029324085892642,-0.0036478926318536,0.015666955799833,,,,,,,-0.0176876362785468,,,,belief_geopolitics,,,,,
2021-08-20,GLD,166.6999969482422,0.0005401616803368,-0.0016170825327121,0.001863078067978,,,,,,,-0.0171570287815432,,,,belief_geopolitics,,,,,
2021-08-23,GLD,168.72999572753906,0.0121775573872815,0.0097545754906416,0.0090299874166548,,,,,,,-0.0051884020968442,,,,belief_geopolitics,,,,,
2021-08-24,GLD,168.64999389648438,-0.0004741411312774,0.0122441226736667,0.0100616437892973,,,,,,,-0.0056600831932819,,,,belief_geopolitics,,,,,
2021-08-25,GLD,167.47999572753906,-0.0069374338054435,0.0046790569500674,0.0022740251953554,,,,,,,-0.0125582505462387,,,,belief_geopolitics,,,,,
2021-08-26,GLD,167.6699981689453,0.0011344784228162,-0.0062822117313711,0.0063621484587395,,,,,,,-0.0114380191876954,,,,belief_geopolitics,,,,,
2021-08-27,GLD,170.19000244140625,0.0150295479213984,0.0091313880857126,0.0209358461730966,,,,,,,0.0,,,,belief_geopolitics,,,,,
2021-08-30,GLD,169.35000610351562,-0.0049356385559711,0.0111655745383392,0.0036745711591064,0.0098287214434323,-0.0015328960904447,,,,,-0.0049356385559711,,,,belief_geopolitics,,,,,
2021-08-31,GLD,169.69000244140625,0.0020076547129428,0.0120474998182178,0.0061666681444425,0.0098376275793894,0.0011799925763189,,,,,-0.0029378929010365,,,,belief_geopolitics,,,,,
