score_bucket,n_trades,mean_ret_1d,mean_ret_5d,hit_1d,hit_5d
0.25-0.50,1841,0.0009343525785115019,-0.0058852292686832645,0.5209125475285171,0.5062466051059207
0.50-0.75,1250,-0.001075762141734331,0.0023211984791813747,0.4952,0.5368
0.75+,998,0.00044697812846040155,-0.0030338624813816403,0.503006012024048,0.5100200400801603
