side,n_trades,mean_ret_1d,mean_ret_5d,hit_1d,hit_5d
long,2105,0.0020219795987417373,0.005879642418726842,0.5358669833729216,0.5885985748218527
short,1984,-0.0017363903407924186,-0.011862044929276146,0.4798387096774194,0.44002016129032256
