market_id,poly_token_id,Date,polymarket_prob
556062,57301498276970257025109591078431189727442302532145853906375186182281603517458,2026-04-09,0.095
556062,57301498276970257025109591078431189727442302532145853906375186182281603517458,2026-04-10,0.105
556063,78059086946243166298250434231742381590921423205138738331803802527161013528631,2026-04-09,0.0195
556063,78059086946243166298250434231742381590921423205138738331803802527161013528631,2026-04-10,0.0195
556108,96797656031191119176188453471637044475353637081608890153571023284371119486681,2026-04-09,0.4555
556108,96797656031191119176188453471637044475353637081608890153571023284371119486681,2026-04-10,0.4605
559651,32338220190071351435772801779725302244575775216413325951443816017994629993401,2026-04-09,0.0735
559651,32338220190071351435772801779725302244575775216413325951443816017994629993401,2026-04-10,0.078
560317,350977769852917329387037893294763093471844346281449484439085576212613048126,2026-04-09,0.105
560317,350977769852917329387037893294763093471844346281449484439085576212613048126,2026-04-10,0.115
561237,50507496430692162923857760920722624157737138256097150616293040054748564876552,2026-04-09,0.0125
561237,50507496430692162923857760920722624157737138256097150616293040054748564876552,2026-04-10,0.0125
561238,631059815958854406224163480574507434200946764542129005247984171366597476420,2026-04-09,0.0085
561238,631059815958854406224163480574507434200946764542129005247984171366597476420,2026-04-10,0.0085
561239,70663352401606372246362604193214664065595751757222752105245221905399175050480,2026-04-09,0.0295
561239,70663352401606372246362604193214664065595751757222752105245221905399175050480,2026-04-10,0.0295
561240,105367778020161609482094090847463497982204321259381518614669619753184648647559,2026-04-09,0.0075
561240,105367778020161609482094090847463497982204321259381518614669619753184648647559,2026-04-10,0.0075
561241,70948731404464821824516595498024506131170394300814446118501620719416471444076,2026-04-09,0.0135
561241,70948731404464821824516595498024506131170394300814446118501620719416471444076,2026-04-10,0.0125
