dataset,rule,active_signals,long_signals,short_signals,acc_1d,acc_5d
train,price_only,3135,1630,1505,0.5594896331738437,0.6606060606060606
train,overlay,2772,1449,1323,0.5627705627705628,0.6702741702741702
test,price_only,1462,720,742,0.5601915184678523,0.6313269493844049
test,overlay,1317,656,661,0.5634016704631739,0.6416097190584662
